Wed Dec 17 00:21:17 2014    prof

         11379 function calls (11280 primitive calls) in 108.671 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.007    0.001    0.008    0.001 {method 'sub' of '_sre.SRE_Pattern' objects}
        1    0.006    0.006    0.007    0.007 hermite_e.py:59(<module>)
        1    0.006    0.006    0.007    0.007 hermite.py:59(<module>)
        1    0.006    0.006    0.007    0.007 laguerre.py:59(<module>)
        1    0.001    0.001    0.007    0.007 _internal.py:6(<module>)
        1    0.001    0.001    0.005    0.005 core.py:21(<module>)
       11    0.000    0.000    0.004    0.000 sre_compile.py:478(_code)
       11    0.000    0.000    0.004    0.000 sre_parse.py:686(parse)
        4    0.000    0.000    0.004    0.001 function_base.py:417(average)
        4    0.000    0.000    0.004    0.001 {method 'mean' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.004    0.001 _methods.py:49(_mean)
        4    0.004    0.001    0.004    0.001 _methods.py:39(_count_reduce_items)
    17/11    0.000    0.000    0.004    0.000 sre_parse.py:310(_parse_sub)
    17/11    0.002    0.000    0.004    0.000 sre_parse.py:388(_parse)
    38/11    0.001    0.000    0.004    0.000 sre_compile.py:32(_compile)
        1    0.003    0.003    0.004    0.004 __init__.py:3(<module>)
        1    0.001    0.001    0.004    0.004 numerictypes.py:82(<module>)
        2    0.002    0.001    0.003    0.001 collections.py:288(namedtuple)
        1    0.001    0.001    0.002    0.002 collections.py:1(<module>)
        1    0.002    0.002    0.002    0.002 arrayprint.py:5(<module>)
        1    0.001    0.001    0.002    0.002 io.py:34(<module>)
        1    0.000    0.000    0.002    0.002 difflib.py:27(<module>)
       15    0.000    0.000    0.002    0.000 sre_compile.py:178(_compile_charset)
       40    0.000    0.000    0.002    0.000 core.py:109(get_object_signature)
        1    0.001    0.001    0.002    0.002 _datasource.py:33(<module>)
        1    0.001    0.001    0.002    0.002 main.py:1(<module>)
       15    0.001    0.000    0.002    0.000 sre_compile.py:207(_optimize_charset)
       23    0.000    0.000    0.002    0.000 core.py:5992(__init__)
        1    0.001    0.001    0.002    0.002 linalg.py:10(<module>)
       23    0.000    0.000    0.002    0.000 core.py:5997(getdoc)
        3    0.000    0.000    0.002    0.001 warnings.py:46(filterwarnings)
        1    0.000    0.000    0.002    0.002 util.py:1(<module>)
      666    0.001    0.000    0.002    0.000 string.py:158(convert)
        1    0.001    0.001    0.001    0.001 runner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 numerictypes.py:304(_add_aliases)
      243    0.000    0.000    0.001    0.000 sre_parse.py:210(get)
        1    0.001    0.001    0.001    0.001 __init__.py:10(<module>)
      285    0.001    0.000    0.001    0.000 sre_parse.py:191(__next)
      993    0.001    0.000    0.001    0.000 {isinstance}
        1    0.000    0.000    0.001    0.001 gdalconst.py:11(<module>)
       40    0.000    0.000    0.001    0.000 _inspect.py:120(getargspec)
        1    0.001    0.001    0.001    0.001 utils.py:4(<module>)
       31    0.000    0.000    0.001    0.000 _inspect.py:159(formatargspec)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       11    0.000    0.000    0.001    0.000 sre_compile.py:359(_compile_info)
        1    0.001    0.001    0.001    0.001 defmatrix.py:1(<module>)
      439    0.001    0.000    0.001    0.000 {getattr}
        1    0.000    0.000    0.001    0.001 gdalconst.py:13(swig_import_helper)
    59/32    0.001    0.000    0.001    0.000 sre_parse.py:149(getwidth)
        8    0.000    0.000    0.001    0.000 abc.py:105(register)
       26    0.000    0.000    0.001    0.000 numerictypes.py:232(bitname)
      145    0.000    0.000    0.001    0.000 sre_parse.py:139(__getitem__)
        4    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
        4    0.000    0.000    0.001    0.000 abc.py:86(__new__)
    60/49    0.000    0.000    0.001    0.000 {issubclass}
       19    0.000    0.000    0.001    0.000 nosetester.py:140(__init__)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
        9    0.000    0.000    0.000    0.000 extras.py:241(__init__)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:462(asanyarray)
        9    0.000    0.000    0.000    0.000 extras.py:245(getdoc)
     1329    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        8    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 {posix.stat}
       11    0.000    0.000    0.000    0.000 gdal.py:904(SetNoDataValue)
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       11    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:92(getProjecao)
        8    0.000    0.000    0.000    0.000 core.py:7199(__init__)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
       23    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
  946/924    0.000    0.000    0.000    0.000 {len}
      906    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       11    0.000    0.000    0.000    0.000 {_gdal.Band_SetNoDataValue}
        1    0.000    0.000    0.000    0.000 core.py:2572(MaskedArray)
       11    0.000    0.000    0.000    0.000 gdal.py:688(GetProjection)
        8    0.000    0.000    0.000    0.000 core.py:7204(getdoc)
       27    0.000    0.000    0.000    0.000 core.py:822(__init__)
       18    0.000    0.000    0.000    0.000 gdal_array.py:135(NumericTypeCodeToGDALTypeCode)
      270    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:458(_set_array_types)
      270    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       11    0.000    0.000    0.000    0.000 {_gdal.Dataset_GetProjection}
        1    0.000    0.000    0.000    0.000 {_gdal.AllRegister}
       25    0.000    0.000    0.000    0.000 gdal_array.py:116(flip_code)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       29    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        1    0.000    0.000    0.000    0.000 case.py:131(TestCase)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 collections.py:26(OrderedDict)
        1    0.000    0.000    0.000    0.000 numerictypes.py:288(_add_types)
       30    0.000    0.000    0.000    0.000 numerictypes.py:450(_add_array_type)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
      112    0.000    0.000    0.000    0.000 sre_parse.py:204(match)
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
       51    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x93b580}
        1    0.000    0.000    0.000    0.000 constantes.py:2(<module>)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       21    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 gdal.py:13(swig_import_helper)
        4    0.000    0.000    0.000    0.000 {imp.find_module}
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
       18    0.000    0.000    0.000    0.000 core.py:902(__init__)
        1    0.000    0.000    0.000    0.000 records.py:216(record)
      115    0.000    0.000    0.000    0.000 sre_parse.py:147(append)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
       19    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 linalg.py:76(_determine_error_states)
        1    0.000    0.000    0.000    0.000 numerictypes.py:345(_add_integer_aliases)
        1    0.000    0.000    0.000    0.000 getlimits.py:3(<module>)
       72    0.000    0.000    0.000    0.000 numerictypes.py:130(english_lower)
       18    0.000    0.000    0.000    0.000 gdal.py:684(GetRasterBand)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 gdalconst.py:2(<module>)
       74    0.000    0.000    0.000    0.000 _inspect.py:152(strseq)
      512    0.000    0.000    0.000    0.000 {chr}
        1    0.000    0.000    0.000    0.000 numerictypes.py:787(_construct_lookups)
       21    0.000    0.000    0.000    0.000 numerictypes.py:219(_evalname)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
       79    0.000    0.000    0.000    0.000 {range}
        1    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:110(Valores)
        1    0.000    0.000    0.000    0.000 S-SEBI_Orientado.py:272(reflectanciaParte1)
       11    0.000    0.000    0.000    0.000 sre_parse.py:187(__init__)
        1    0.000    0.000    0.000    0.000 StringIO.py:30(<module>)
       85    0.000    0.000    0.000    0.000 sre_parse.py:135(__len__)
        1    0.000    0.000    0.000    0.000 result.py:26(TestResult)
       40    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
        2    0.000    0.000    0.000    0.000 gdal.py:73(deprecation_warn)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 machar.py:7(<module>)
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        8    0.000    0.000    0.000    0.000 {all}
       18    0.000    0.000    0.000    0.000 {_gdal.Dataset_GetRasterBand}
       14    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       43    0.000    0.000    0.000    0.000 _inspect.py:163(<lambda>)
